job_title,comp_name,city,querying,engineering,analysis,model_building,scraping,dashboarding
unknown,ZEISS,Oberkochen (Baden-Württemberg),27.27,28.57,23.08,23.08,33.33,58.33
Datenanalyst / Data Analyst Risikomanagement (w/m/d),parcIT GmbH,Köln,54.55,35.71,61.54,53.85,50.0,83.33
Data Analyst (m/w/d) im BI-Controlling,Vonovia,Bochum,63.64,64.29,76.92,92.31,58.33,58.33
Web & Data Analyst (w/m/d) in Voll- oder Teilzeit (mind. 32h/Woche),SCHUFA Holding AG,Wiesbaden,27.27,21.43,38.46,23.08,25.0,66.67
Data Analyst*in - Verkehrsforschung,DSW21 Dortmunder Stadtwerke AG,Dortmund,18.18,14.29,23.08,15.38,16.67,33.33
Data Analyst (m/w/d) Produktion,SiCrystal GmbH,Nürnberg,36.36,35.71,53.85,61.54,58.33,58.33
Systemadministrator MES System / Data Analyst (m/w/d),ETO GRUPPE Beteiligungen GmbH,Stockach,54.55,50.0,53.85,53.85,50.0,58.33
unknown,Bosch Gruppe,Bühl,18.18,14.29,15.38,30.77,16.67,33.33
unknown,StepStone GmbH,Düsseldorf,54.55,35.71,61.54,46.15,50.0,91.67
International Data Analyst (w/m/d) Sales,HiPP GmbH & Co. Vertrieb KG,Pfaffenhofen,27.27,21.43,30.77,38.46,25.0,58.33
unknown,Union Investment,Frankfurt am Main,54.55,50.0,69.23,61.54,58.33,58.33
Team Manager Data Analyst (m/w/d) im Bereich Customer Analytics,StepStone GmbH,Düsseldorf,54.55,35.71,61.54,46.15,50.0,50.0
Data Engineer/Data Analyst for Central Master Data System Athena (f/m/div.),Bosch Gruppe,Stuttgart,27.27,28.57,23.08,23.08,33.33,66.67
CRM Data Analyst | Segmentation Manager (m/w/d),HABA FAMILYGROUP,multiple cities,54.55,21.43,30.77,38.46,25.0,41.67
Data Analyst - Logistics (m/w/d),GEODIS CL Germany GmbH,Lüdinghausen,63.64,21.43,23.08,23.08,25.0,58.33
Data Analyst (m/w/d),König Metall GmbH & Co. KG,Gaggenau,54.55,21.43,23.08,23.08,25.0,50.0
Data Analyst / Spezialist Stammdatenpflege (m/w/d),eClear AG,Berlin,0.0,0.0,7.69,0.0,0.0,25.0
Data Analyst (w/m/d),1&1 Versatel GmbH,Düsseldorf,27.27,57.14,76.92,84.62,58.33,50.0
Praktikum im Bereich Digitalisierung/ Data Analyst,Bosch Gruppe,Bühl,54.55,21.43,30.77,23.08,25.0,58.33
Data Analyst GSD (m/f/d),Magna,Sailauf ,0.0,0.0,0.0,0.0,8.33,16.67
Product Data Analyst (m/w/x),ZEISS,Aalen (Baden-Württemberg),9.09,7.14,7.69,7.69,8.33,16.67
unknown,Technische Universität München,München,54.55,21.43,23.08,23.08,25.0,41.67
Data Analyst (m/w/d) im Corporate Controlling,Chemische Fabrik Budenheim KG,Budenheim,54.55,21.43,30.77,23.08,25.0,50.0
unknown,AVM Computersysteme Vertriebs GmbH,Berlin,36.36,21.43,30.77,30.77,33.33,33.33
Data Analyst Investmentmanagement (m/w/d),R+V Lebensversicherung AG,Wiesbaden,54.55,21.43,23.08,38.46,25.0,41.67
unknown,RWE Renewables GmbH,Dresden,45.45,35.71,46.15,30.77,41.67,33.33
Data Analyst Versicherungen (m/w/divers),Albatros Financial Solutions GmbH,Köln,45.45,28.57,46.15,30.77,41.67,75.0
unknown,MediaMarktSaturn E-Commerce,Ingolstadt,18.18,14.29,30.77,30.77,16.67,33.33
unknown,Skyborn Renewables offshore solutions GmbH,multiple cities,36.36,35.71,23.08,38.46,33.33,41.67
Python Software Engineer (f/m/d),Next Kraftwerke GmbH,Köln,9.09,35.71,46.15,30.77,41.67,33.33
Data Analyst (m/w/d),igus® GmbH,Köln,27.27,21.43,38.46,30.77,25.0,50.0
Python Architect (w/m/d) Tailor Made Developments,50Hertz Transmission GmbH,Berlin,45.45,28.57,38.46,38.46,41.67,33.33
Data Analyst (m/w/d),radio.de GmbH ,Hamburg,72.73,50.0,76.92,61.54,50.0,41.67
Data Analyst / Engineer im Bereich automatisiertes Fahren (m/w/d),ARRK Engineering GmbH,München,54.55,42.86,46.15,38.46,50.0,41.67
Data Analyst / Machine Learning Engineer (m/w/d),MULTIVAC Sepp Haggenmüller SE & Co. KG,Wolfertschwenden,54.55,50.0,76.92,92.31,50.0,41.67
Data Analyst (m/w/d),BAUEN+LEBEN Service GmbH & Co. KG,Krefeld,27.27,21.43,23.08,46.15,25.0,66.67
Data Specialist/ Analyst ERP (m/w/d),RAYLASE GmbH,Weßling,54.55,21.43,38.46,23.08,25.0,75.0
Data Analyst (w/m/d) Credit Risk,ING Deutschland,Berlin,54.55,42.86,69.23,61.54,50.0,41.67
Data Analyst (m/w/d),SOLIT Management GmbH,Wiesbaden,27.27,21.43,30.77,30.77,25.0,58.33
Data Analyst Operations 5G (w/m/d),1&1,Düsseldorf,27.27,21.43,23.08,38.46,33.33,58.33
unknown,Mercedes-Benz Group AG,Stuttgart,36.36,21.43,30.77,30.77,25.0,50.0
unknown,Wüstenrot Bausparkasse AG,Kornwestheim,54.55,42.86,53.85,61.54,58.33,50.0
Data Analyst - Use Case Befähigung (w/m/x),BMW Group,München,27.27,21.43,30.77,23.08,33.33,91.67
